Fri Nov  4 16:18:26 2022    profile.dat

         225092714 function calls (210389854 primitive calls) in 337.722 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 82785469    8.556    0.000    8.556    0.000 {built-in method builtins.abs}
 63196764  167.933    0.000  174.466    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyTriangle.py:62(triangleAreaXY)
 16247823   18.829    0.000   18.829    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:215(get_direction)
 15799191   34.521    0.000  210.582    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyTriangle.py:76(insideTriangleXY)
 15431775   27.269    0.000   27.269    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyTriangle.py:151(getZ)
15425511/819774   57.326    0.000  306.734    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:196(addTriangleObscuration)
  3239528    0.294    0.000    0.294    0.000 {built-in method builtins.len}
  3228849   11.074    0.000   11.405    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:142(addGetLineIntersectionXY)
  3219453    2.000    0.000   13.357    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:134(addLineIntersectionXY)
1648857/1647551    1.391    0.000    1.412    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1647225    0.192    0.000    0.192    0.000 C:\Users\roland\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\core\multiarray.py:706(dot)
  1647225    0.790    0.000    2.371    0.000 <__array_function__ internals>:2(dot)
   822312    4.200    0.000   13.942    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:178(addTriangleIntersectXYZ)
   178238    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
107686/13662    0.037    0.000    0.037    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:206(getNoVisibleLines)
    98008    0.074    0.000    0.094    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyUtils.py:22(floatSmallerThenRelative)
    80025    0.031    0.000    0.043    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyColor.py:18(_check_color)
    80025    0.012    0.000    0.012    0.000 {built-in method math.floor}
    54248    0.067    0.000    0.067    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:38(__init__)
    42681    0.014    0.000    0.020    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:63(addSplitter)
    26675    0.030    0.000    0.073    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyColor.py:5(__init__)
    22247    0.011    0.000    0.011    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyCross.py:14(__init__)
     9396    0.007    0.000    0.055    0.000 C:\Users\roland\Documents\GitHub_clones\line_triangle_projection\line_2d3d\python\MyLine.py:138(getLineIntersectionXY)
